Name,DisplayName,Faction,Archetype,Tier,UnitSize,HpPerModel,MeleeAttack,MeleeDefence,ChargeBonus,Damage,ArmourPiercing,Armour,Morale,SpeedCmS,RangedAttack,RangeCm,Ammo,ModelScale,Cost,Upkeep,Ability,Weapon,Headgear,ColourPrimary,ColourSecondary,MeshHead,MeshTorso,MeshLegs,MeshHat,MeshWeapon,Image,AssetStatus,Notes
SER_VEN_WARRIORS,Venomari Warriors,SERPENTINE,LINE,TROOP,24,60,5,4,4,14,0,2,52,399,0,0,0,1.0,495,49,,Twin Blades,None,#3C7A3C,#C8A22A,,,,,,,todo,Lizaru's line troops.
SER_ANA_WARRIORS,Anacondrai Warriors,SERPENTINE,ELITE,TROOP,16,110,9,8,8,24,10,5,76,420,0,0,0,1.1,645,64,,Anacondrai Blade,None,#3C7A3C,#C8A22A,,,,,,,todo,"Purple. Bigger, smarter, natural leaders. Expensive."
SER_VIPER_FLYERS,Viper Flyers,SERPENTINE,SKIRMISH,TROOP,20,50,4,3,3,12,0,1,48,546,4,1100,10,1.0,415,41,,Glider Blades,None,#3C7A3C,#C8A22A,,,,,,,todo,Set-derived flyers. Harass and reposition.
SER_DEVOURER,The Great Devourer,SERPENTINE,GIANT,TROOP,1,1600,11,5,14,90,50,7,86,315,0,0,0,4.5,1240,124,,Jaws,None,#3C7A3C,#C8A22A,,,,,,,todo,Campaign boss. Grows every time it eats a unit.
STO_SCOUTS,Stone Scouts,STONE_ARMY,ARCHER,TROOP,20,50,3,2,1,9,0,3,99,340,6,1600,14,1.0,485,48,,Crossbow,None,#1C1C1C,#B03030,,,,,,,todo,"Yellow markings, flaming bolts. No shoulder armour."
STO_SOLDIERS,Stone Soldiers,STONE_ARMY,SHIELD,TROOP,24,70,4,7,3,12,0,7,99,289,0,0,0,1.0,755,75,,Katana & Shield,Conical,#1C1C1C,#B03030,,,,,,,todo,Conical red hat. The block that holds the line.
STO_SWORDSMEN,Stone Swordsmen,STONE_ARMY,LINE,TROOP,24,60,5,4,4,14,0,5,99,323,0,0,0,1.0,670,67,,Katana,Conical,#1C1C1C,#B03030,,,,,,,todo,"Same body, no shield, more attack."
STO_WARRIORS,Stone Warriors,STONE_ARMY,HEAVY,TROOP,18,90,7,6,6,20,8,8,99,255,0,0,0,1.1,775,77,,Butterfly Swords,Warrior Helm,#1C1C1C,#B03030,,,,,,,todo,"Black chest plate, samurai-style helm."
STO_GIANT,Giant Stone Warrior,STONE_ARMY,MONSTER,TROOP,1,900,10,6,12,60,25,9,99,323,0,0,0,3.0,980,98,,Butterfly Swords,Black Helm,#1C1C1C,#B03030,,,,,,,todo,Single colossus. Cannot be killed by normal damage — only knocked down.
NIN_POLICE,Ninjago Police,NINJA,SHIELD,TROOP,24,70,4,7,3,12,0,4,72,340,0,0,0,1.0,730,73,,Baton & Shield,Police Cap,#1E6FBF,#D9B310,,,,,,,todo,Cheap allied line. Arrives as reinforcements.
NIN_SOLDIERS,Ninjago Soldiers,NINJA,SPEAR,TROOP,24,60,4,6,5,13,6,2,66,360,0,0,0,1.0,710,71,,Yari,Jingasa,#1E6FBF,#D9B310,,,,,,,todo,Serpentine War era regulars.
NIN_ROYALGUARD,Royal Guards,NINJA,ELITE,TROOP,16,110,9,8,8,24,10,5,88,400,0,0,0,1.1,840,84,,Naginata,Guard Helm,#1E6FBF,#D9B310,,,,,,,todo,Hutchins' palace guard.
NIN_SHINTARO,Army of Shintaro,NINJA,ARCHER,TROOP,20,50,3,2,1,9,0,0,50,400,6,1600,14,1.0,455,45,,Longbow,Winged Helm,#1E6FBF,#D9B310,,,,,,,todo,Sky Folk. Can be deployed on high ground only.
NIN_SAMURAIX,Samurai X Mech,NINJA,MONSTER,TROOP,1,900,10,6,12,60,25,6,94,380,0,0,0,3.0,1035,103,,Mech Blades,None,#1E6FBF,#D9B310,,,,,,,todo,Nya's mech. Ranged + melee.
NDR_DRONES,Nindroid Drones,NINDROID,CHAFF,TROOP,32,40,3,2,2,10,0,0,99,400,2,0,0,1.0,500,50,,Blade Arm,None,#2B2B2B,#00C2C7,,,,,,,todo,Expendable. Self-destruct on death for small AoE.
NDR_WARRIORS,Nindroid Warriors,NINDROID,LINE,TROOP,24,60,5,4,4,14,0,2,99,380,2,0,0,1.0,600,60,,Techno Blade,None,#2B2B2B,#00C2C7,,,,,,,todo,Standard Nindroid infantry.
NDR_SENTRIES,Nindroid Sentries,NINDROID,SHIELD,TROOP,24,70,4,7,3,12,0,4,99,340,2,0,0,1.0,680,68,,Stun Baton,None,#2B2B2B,#00C2C7,,,,,,,todo,Guards. Can be hacked and turned by Zane.
NDR_ELITE,Nindroid Elite Guard,NINDROID,ELITE,TROOP,16,110,9,8,8,24,10,5,99,400,2,0,0,1.1,765,76,,Twin Blades,None,#2B2B2B,#00C2C7,,,,,,,todo,Cryptor's personal guard.
NDR_MECHDRAGON,Nindroid MechDragon,NINDROID,GIANT,TROOP,1,1600,11,5,14,90,50,7,99,300,2,0,0,4.5,1440,144,,Missiles,None,#2B2B2B,#00C2C7,,,,,,,todo,Flying artillery platform.
CUL_CULTISTS,Anacondrai Cultists,CULTISTS,LINE,TROOP,24,60,5,4,4,14,0,2,55,380,0,0,0,1.0,465,46,,Condrai Blade,Bone Mask,#5B2C87,#C8102E,,,,,,,todo,Bone armour over red robes. Upgrades via The Curse.
CUL_ARCHERS,Condrai Archers,CULTISTS,ARCHER,TROOP,20,50,3,2,1,9,0,0,45,400,6,1600,14,1.0,330,33,,Bow,Bone Mask,#5B2C87,#C8102E,,,,,,,todo,
CUL_CRUSHER,Anacondrai Crusher,CULTISTS,VEHICLE,TROOP,4,400,6,6,14,30,12,7,99,500,0,0,0,2.2,435,43,,Ram,None,#5B2C87,#C8102E,,,,,,,todo,
CUL_COPTER,Condrai Copter,CULTISTS,VEHICLE,TROOP,4,400,6,6,14,30,12,7,99,500,0,0,0,2.2,435,43,,Guns,None,#5B2C87,#C8102E,,,,,,,todo,"Air. Fast, fragile."
GHO_NINJA,Ghost Ninja,GHOST,LINE,TROOP,24,48,5,4,4,14,0,0,55,380,0,0,0,1.0,430,43,,Spectral Blade,Hood,#3FE0A0,#1A1A2E,,,,,,,todo,"Attila, Hackler, Ming, Spyder, Howla, Yokai, Wooo."
GHO_WARRIORS,Ghost Warriors,GHOST,CHAFF,TROOP,32,32,3,2,2,10,0,0,40,400,0,0,0,1.0,385,38,,Claws,None,#3FE0A0,#1A1A2E,,,,,,,todo,"Cowler, Cyrus, Ghurka, Pitch, Pyrrhus, Wail."
GHO_SKREEMERS,Skreemers,GHOST,SWARM,TROOP,48,16,2,1,1,5,0,0,30,480,0,0,0,0.7,375,37,,Bite,None,#3FE0A0,#1A1A2E,,,,,,,todo,Every 15s a surviving Skreemer spawns another Skreemer.
GHO_PREEMINENT,The Preeminent,GHOST,GIANT,TROOP,1,1280,11,5,14,90,80,0,90,300,0,0,0,4.5,1130,113,,Tentacles,None,#3FE0A0,#1A1A2E,,,,,,,todo,Kaiju. One per campaign. Dies to a single large body of water.
SKY_CREW,Sky Pirate Crew,SKY_PIRATES,LINE,TROOP,24,54,5,4,4,14,0,2,55,418,1,0,0,1.0,505,50,,Cutlass,Bandana,#8B4513,#2E8B57,,,,,,,todo,
SKY_GUNNERS,Pirate Gunners,SKY_PIRATES,ARCHER,TROOP,20,45,3,2,1,9,0,0,45,440,7,1600,14,1.0,360,36,,Flintlock,Tricorn,#8B4513,#2E8B57,,,,,,,todo,Flintlocke's shooters.
SKY_BOARDERS,Sky Boarders,SKY_PIRATES,SKIRMISH,TROOP,20,45,4,3,3,12,0,1,50,572,5,1100,10,1.0,425,42,,Grapple,Bandana,#8B4513,#2E8B57,,,,,,,todo,Fly. Land behind enemy lines.
SKY_KEEP,Misfortune's Keep,SKY_PIRATES,GIANT,TROOP,1,1440,11,5,14,90,50,7,90,330,1,0,0,4.5,1185,118,,Broadside,None,#8B4513,#2E8B57,,,,,,,todo,Flying flagship. Artillery.
VER_WARRIORS,Vermillion Warriors,VERMILLION,LINE,TROOP,24,66,5,4,4,14,0,2,55,361,0,0,0,1.0,495,49,,Serpent Axe,Vermillion Helm,#B22222,#4A4A4A,,,,,,,todo,
VER_ARCHERS,Vermillion Archers,VERMILLION,ARCHER,TROOP,20,55,3,2,1,9,0,0,45,380,6,1600,14,1.0,355,35,,Bow,Vermillion Helm,#B22222,#4A4A4A,,,,,,,todo,
VER_BUFFMILLION,Buffmillion,VERMILLION,MONSTER,TROOP,1,990,10,6,12,60,25,6,85,361,0,0,0,3.0,830,83,,Fists,Vermillion Helm,#B22222,#4A4A4A,,,,,,,todo,Giant. Reforms like the rest.
VER_SWARM,Vermillion Snakes,VERMILLION,SWARM,TROOP,48,22,2,1,1,5,0,0,30,456,0,0,0,0.7,385,38,,Bite,None,#B22222,#4A4A4A,,,,,,,todo,What's left when armour breaks. Kill these to stop Reform.
SOG_BIKERS,SoG Bikers,SONS_OF_GARMADON,CAV,TROOP,12,130,6,5,19,18,6,2,70,747,0,0,0,1.4,405,40,,Chain,Helmet,#4B0082,#E8E8E8,,,,,,,todo,"Luke, Chopper Maroon, Mohawk, Nails, Skip Vicious."
SOG_THUGS,SoG Thugs,SONS_OF_GARMADON,LINE,TROOP,24,60,5,4,8,14,0,1,55,437,0,0,0,1.0,495,49,,Bat,None,#4B0082,#E8E8E8,,,,,,,todo,On foot.
SOG_COLOSSUS,Colossus,SONS_OF_GARMADON,GIANT,TROOP,1,1600,11,5,18,90,50,6,90,345,0,0,0,4.5,1240,124,,Fists,None,#4B0082,#E8E8E8,,,,,,,todo,Garmadon's stone titan.
DRH_HUNTERS,Dragon Hunters,DRAGON_HUNTERS,LINE,TROOP,24,60,5,4,4,14,0,2,55,380,1,0,0,1.0,455,45,,Chain Weapon,Scrap Helm,#8B7355,#FF6A00,,,,,,,todo,
DRH_CROSSBOWS,Hunter Crossbows,DRAGON_HUNTERS,ARCHER,TROOP,20,50,3,2,1,9,0,0,45,400,7,1600,14,1.0,325,32,,Crossbow,Scrap Helm,#8B7355,#FF6A00,,,,,,,todo,
DRH_RIDERS,Hunter Bike Riders,DRAGON_HUNTERS,CAV,TROOP,12,130,6,5,15,18,6,3,70,650,1,0,0,1.4,370,37,,Cleaver,Scrap Helm,#8B7355,#FF6A00,,,,,,,todo,
DRH_FIRSTBOURNE,Firstbourne,DRAGON_HUNTERS,GIANT,TROOP,1,1600,11,5,14,90,50,7,90,300,1,0,0,4.5,1120,112,,Fire Breath,None,#8B7355,#FF6A00,,,,,,,todo,Mother of dragons. Neutral until captured — by either side.
PYR_SLAYERS,Pyro Slayers,PYRO_VIPERS,LINE,TROOP,24,60,5,4,4,15,0,1,55,380,0,0,0,1.0,480,48,,Flame Blade,None,#FF8C00,#8B0000,,,,,,,todo,
PYR_WHIPPERS,Pyro Whippers,PYRO_VIPERS,SKIRMISH,TROOP,20,50,4,3,3,13,0,0,50,520,4,1100,10,1.0,400,40,,Fire Whip,None,#FF8C00,#8B0000,,,,,,,todo,"Long reach, pulls enemies out of formation."
PYR_DESTROYERS,Pyro Destroyers,PYRO_VIPERS,HEAVY,TROOP,18,90,7,6,6,22,8,4,70,300,0,0,0,1.1,590,59,,Flame Maul,None,#FF8C00,#8B0000,,,,,,,todo,
PYR_FIREFANG,Fire Fang,PYRO_VIPERS,GIANT,TROOP,1,1600,11,5,14,99,50,6,90,300,0,0,0,4.5,1260,126,,Jaws,None,#FF8C00,#8B0000,,,,,,,todo,
BLZ_WARRIORS,Blizzard Warriors,BLIZZARD_SAMURAI,LINE,TROOP,24,60,5,4,4,14,0,3,58,342,0,0,0,1.0,510,51,,Ice Katana,Blizzard Helm,#BFE8F5,#2C5F7C,,,,,,,todo,
BLZ_SWORDMASTER,Blizzard Sword Masters,BLIZZARD_SAMURAI,ELITE,TROOP,16,110,9,8,8,24,10,6,84,360,0,0,0,1.1,660,66,,Ice Odachi,Blizzard Helm,#BFE8F5,#2C5F7C,,,,,,,todo,
BLZ_ARCHERS,Blizzard Archers,BLIZZARD_SAMURAI,ARCHER,TROOP,20,50,3,2,1,9,0,1,47,360,6,1600,14,1.0,365,36,,Ice Bow,Blizzard Helm,#BFE8F5,#2C5F7C,,,,,,,todo,Hits slow the target.
BLZ_BEHEMOTH,Ice Behemoth,BLIZZARD_SAMURAI,MONSTER,TROOP,1,900,10,6,12,60,25,7,89,342,0,0,0,3.0,805,80,,Fists,None,#BFE8F5,#2C5F7C,,,,,,,todo,
BLZ_BOREAL,Boreal,BLIZZARD_SAMURAI,GIANT,TROOP,1,1600,11,5,14,90,50,8,94,270,0,0,0,4.5,1250,125,,Ice Breath,None,#BFE8F5,#2C5F7C,,,,,,,todo,
CRY_VENGE_WAR,Vengestone Warriors,CRYSTAL_ARMY,HEAVY,TROOP,18,90,7,6,6,20,8,7,70,300,0,0,0,1.1,695,69,,Vengestone Maul,None,#7B2FBF,#00E5FF,,,,,,,todo,Aura: enemy heroes within 800cm cannot use abilities.
CRY_VENGE_GUARD,Vengestone Guards,CRYSTAL_ARMY,SHIELD,TROOP,24,70,4,7,3,12,0,6,65,340,0,0,0,1.0,670,67,,Shield & Blade,None,#7B2FBF,#00E5FF,,,,,,,todo,
CRY_VENGE_BRUTE,Vengestone Brutes,CRYSTAL_ARMY,MONSTER,TROOP,1,900,10,6,12,60,25,8,85,380,0,0,0,3.0,895,89,,Fists,None,#7B2FBF,#00E5FF,,,,,,,todo,
CRY_WARRIORS,Crystal Warriors,CRYSTAL_ARMY,LINE,TROOP,24,60,5,4,4,14,0,4,55,380,0,0,0,1.0,595,59,,Crystal Blade,None,#7B2FBF,#00E5FF,,,,,,,todo,
CRY_ZOMBIES,Crystal Zombies,CRYSTAL_ARMY,CHAFF,TROOP,32,40,3,2,2,10,0,2,40,400,0,0,0,1.0,505,50,,Claws,None,#7B2FBF,#00E5FF,,,,,,,todo,Converted civilians. Free — spawn from enemy casualties.
CRY_SPIDERS,Crystal Spiders,CRYSTAL_ARMY,SWARM,TROOP,48,20,2,1,1,5,0,2,30,480,0,0,0,0.7,530,53,,Bite,None,#7B2FBF,#00E5FF,,,,,,,todo,
IMP_CLAWS,Claws of Imperium,IMPERIUM,LINE,TROOP,24,60,5,4,4,14,0,3,55,380,1,0,0,1.0,665,66,,Shock Lance,Claw Helm,#D4AF37,#14B8B8,,,,,,,todo,
IMP_HUNTERS,Claw Hunters,IMPERIUM,SKIRMISH,TROOP,20,50,4,3,3,12,0,2,50,520,5,1100,10,1.0,555,55,,Net Launcher,Claw Helm,#D4AF37,#14B8B8,,,,,,,todo,Can capture MONSTER units.
IMP_GUARDS,Imperium Guards,IMPERIUM,SHIELD,TROOP,24,70,4,7,3,12,0,5,65,340,1,0,0,1.0,750,75,,Spear & Shield,Gold Helm,#D4AF37,#14B8B8,,,,,,,todo,Famously absent when needed.
IMP_TEENFORCE,Teen Protection Force,IMPERIUM,CHAFF,TROOP,32,40,3,2,2,10,0,1,40,400,1,0,0,1.0,560,56,,Baton,Cap,#D4AF37,#14B8B8,,,,,,,todo,
IMP_HOUND,Dragon Hunter Hound,IMPERIUM,VEHICLE,TROOP,4,400,6,6,14,30,12,8,99,500,1,0,0,2.2,590,59,,Claws,None,#D4AF37,#14B8B8,,,,,,,todo,
IMP_EMPRESSMECH,Empress Mech,IMPERIUM,GIANT,TROOP,1,1600,11,5,14,90,50,8,90,300,1,0,0,4.5,1565,156,,Sword Beam,None,#D4AF37,#14B8B8,,,,,,,todo,Beatrix's ultimate. Immune to elemental damage.
WLF_WARRIORS,Wolf Mask Warriors,WOLF_CLAN,LINE,TROOP,24,60,5,4,7,14,0,2,55,380,0,0,0,1.0,430,43,,Wolf Blade,Wolf Mask,#5A5A5A,#C8102E,,,,,,,todo,
WLF_GUARDS,Wolf Mask Guards,WOLF_CLAN,SHIELD,TROOP,24,70,4,7,6,12,0,4,65,340,0,0,0,1.0,490,49,,Shield & Axe,Wolf Mask,#5A5A5A,#C8102E,,,,,,,todo,
WLF_RIDERS,Wolf Riders,WOLF_CLAN,CAV,TROOP,12,130,6,5,18,18,6,3,70,650,0,0,0,1.4,350,35,,Spear,Wolf Mask,#5A5A5A,#C8102E,,,,,,,todo,
GRB_WARRIORS,Bone Warriors,GREENBONES,LINE,TROOP,24,54,5,4,4,14,0,2,99,380,0,0,0,1.0,390,39,,Bone Sword,None,#8FBF3F,#2F2F2F,,,,,,,todo,
GRB_GUARDS,Bone Guards,GREENBONES,SHIELD,TROOP,24,63,4,7,3,12,0,4,99,340,0,0,0,1.0,445,44,,Shield & Spear,None,#8FBF3F,#2F2F2F,,,,,,,todo,
GRB_HUNTERS,Bone Hunters,GREENBONES,ARCHER,TROOP,20,45,3,2,1,9,0,0,99,400,6,1600,14,1.0,275,27,,Bone Bow,None,#8FBF3F,#2F2F2F,,,,,,,todo,
GRB_KNIGHTS,Bone Knights,GREENBONES,ELITE,TROOP,16,99,9,8,8,24,10,5,99,400,0,0,0,1.1,510,51,,Greatsword,Bone Helm,#8FBF3F,#2F2F2F,,,,,,,todo,
GRB_SCORPIOS,Bone Scorpios,GREENBONES,CAV,TROOP,12,117,6,5,15,18,6,3,99,650,0,0,0,1.4,315,31,,Stinger,None,#8FBF3F,#2F2F2F,,,,,,,todo,Mounts.
LRD_SAMUKAI,Samukai,SKULKIN,LORD,LORD,1,1020,12,10,12,45,25,5,99,441,0,0,0,1.25,665,66,AB_FOUR_ARMED_FURY,,,#E8E3D3,#8B1A1A,,,,,,,todo,"Four arms, four bone daggers. King of the Underworld."
LRD_GARMADON_U,Lord Garmadon (Underworld),SKULKIN,LORD,LORD,1,1020,12,10,12,45,25,5,99,441,0,0,0,1.25,665,66,AB_MEGA_WEAPON,,,#E8E3D3,#8B1A1A,,,,,,,todo,Four-armed. Commands the Skulkin from the throne.
HRO_KRUNCHA,Kruncha,SKULKIN,HERO,CMD,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_BONE_RALLY,,,#E8E3D3,#8B1A1A,,,,,,,todo,"General of Earth. Helmeted, permanently furious."
HRO_NUCKAL,Nuckal,SKULKIN,HERO,CMD,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_LIGHTNING_RUSH,,,#E8E3D3,#8B1A1A,,,,,,,todo,"General of Lightning. Spiked skull, no impulse control."
HRO_WYPLASH,Wyplash,SKULKIN,HERO,CMD,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_WATCHFUL_EYE,,,#E8E3D3,#8B1A1A,,,,,,,todo,"General of Ice. Straw hat, deeply paranoid."
HRO_FRAKJAW,Frakjaw,SKULKIN,HERO,ELITE,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_FIRE_BLAST,,,#E8E3D3,#8B1A1A,,,,,,,todo,Fire warrior. Loud.
HRO_BONEZAI,Bonezai,SKULKIN,HERO,ELITE,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_ICE_WALL,,,#E8E3D3,#8B1A1A,,,,,,,todo,Ice warrior. Builds the vehicles.
HRO_CHOPOV,Chopov,SKULKIN,HERO,ELITE,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_EARTHQUAKE,,,#E8E3D3,#8B1A1A,,,,,,,todo,Earth warrior. Mechanic.
HRO_KRAZI,Krazi,SKULKIN,HERO,ELITE,1,595,10,8,10,35,15,4,99,462,0,0,0,1.15,455,45,AB_LIGHTNING_BOLT,,,#E8E3D3,#8B1A1A,,,,,,,todo,"Lightning warrior. Jester hat, unhinged."
LRD_PYTHOR,Pythor P. Chumsworth,SERPENTINE,LORD,LORD,1,1200,12,10,12,45,25,5,95,441,0,0,0,1.25,900,90,AB_VANISH,,,#3C7A3C,#C8A22A,,,,,,,todo,Last Anacondrai. Snake King. Turns invisible.
LRD_SKALES,Skales,SERPENTINE,LORD,LORD,1,1200,12,10,12,45,25,5,95,441,0,0,0,1.25,900,90,AB_HYPNOTIC_GAZE,,,#3C7A3C,#C8A22A,,,,,,,todo,"Hypnobrai General, later Snake King."
HRO_SLITHRAA,Slithraa,SERPENTINE,HERO,CMD,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_SLITHER_PIT,,,#3C7A3C,#C8A22A,,,,,,,todo,Deposed Hypnobrai General. Wants his tail back.
HRO_FANGTOM,Fangtom,SERPENTINE,HERO,CMD,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_FANGPYRE_BITE,,,#3C7A3C,#C8A22A,,,,,,,todo,Two-headed Fangpyre General.
HRO_SKALIDOR,Skalidor,SERPENTINE,HERO,CMD,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_CONSTRICT,,,#3C7A3C,#C8A22A,,,,,,,todo,Constrictai General. Huge and slow.
HRO_ACIDICUS,Acidicus,SERPENTINE,HERO,CMD,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_VENOM_CLOUD,,,#3C7A3C,#C8A22A,,,,,,,todo,Venomari General. Invented the venom vials.
HRO_ARCTURUS,Arcturus,SERPENTINE,HERO,CMD,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_VANISH,,,#3C7A3C,#C8A22A,,,,,,,todo,Ancient Anacondrai General.
HRO_MEZMO,Mezmo,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_HYPNOTIC_GAZE,,,#3C7A3C,#C8A22A,,,,,,,todo,Hypnobrai Warrior.
HRO_RATTLA,Rattla,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_HYPNOTIC_GAZE,,,#3C7A3C,#C8A22A,,,,,,,todo,Hypnobrai Soldier.
HRO_FANGDAM,Fangdam,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_FANGPYRE_BITE,,,#3C7A3C,#C8A22A,,,,,,,todo,Fangtom's two-headed brother.
HRO_FANGSUEI,Fang-Suei,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_FANGPYRE_BITE,,,#3C7A3C,#C8A22A,,,,,,,todo,Fangpyre Soldier.
HRO_SNAPPA,Snappa,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_FANGPYRE_BITE,,,#3C7A3C,#C8A22A,,,,,,,todo,Fangpyre Scout. Reckless.
HRO_BYTAR,Bytar,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_CONSTRICT,,,#3C7A3C,#C8A22A,,,,,,,todo,Constrictai Warrior.
HRO_CHOKUN,Chokun,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_CONSTRICT,,,#3C7A3C,#C8A22A,,,,,,,todo,Constrictai Soldier.
HRO_SNIKE,Snike,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_CONSTRICT,,,#3C7A3C,#C8A22A,,,,,,,todo,Constrictai Scout.
HRO_LIZARU,Lizaru,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_VENOM_CLOUD,,,#3C7A3C,#C8A22A,,,,,,,todo,Venomari Warrior.
HRO_SPITTA,Spitta,SERPENTINE,HERO,ELITE,1,700,10,8,10,35,15,4,86,462,0,0,0,1.15,610,61,AB_VENOM_CLOUD,,,#3C7A3C,#C8A22A,,,,,,,todo,Venomari Soldier. Leaks constantly.
