Name,DisplayName,Type,Target,RadiusCm,DurationS,CooldownS,Effect,Magnitude
AB_WIND_BURST,Wind Burst,ACTIVE,SELF_AOE,700,0,35,Knock every enemy in radius off their feet,knockback=800cm
AB_TWISTED_WISH,Twisted Wish,ACTIVE,ENEMY_HERO,800,15,90,Grant a wish: target is hugely buffed but you control them,control=full
AB_REFORM,Reform,ACTIVE,ALLY_UNIT,1500,0,60,Instantly rebuild one destroyed Vermillion unit at 60%,revive=60%
AB_TIME_SLIP,Time Slip,ACTIVE,ENEMY_AOE,1000,10,60,Enemies in radius move and attack at half speed,slow=50%
AB_THE_QUIET_ONE,The Quiet One,PASSIVE,SELF,0,0,0,Invisible to the enemy until she makes her first attack,stealth=true
AB_MASK_DECEPTION,Mask of Deception,ACTIVE,SELF,0,8,60,Invulnerable and cannot be slowed,invuln=true
AB_MASK_VENGEANCE,Mask of Vengeance,ACTIVE,SELF,0,10,60,Reflect 100% of damage taken back to the attacker,reflect=100%
AB_MASK_HATRED,Mask of Hatred,ACTIVE,SELF,0,12,60,"Double damage, but you cannot be ordered to retreat",dmg=x2
AB_DRAGON_BAIT,Dragon Bait,ACTIVE,MONSTER,2000,0,90,"Chain and capture any monster on the field, including the enemy's",capture=true
AB_STOLEN_SPINJITZU,Stolen Spinjitzu,ACTIVE,SELF_AOE,600,10,55,Fire tornado. Permanently steals a defeated hero's ability,dmg=30/s
AB_ASH_CLOUD,Ash Cloud,ACTIVE,GROUND_AOE,900,15,50,Blinds enemies: ranged units cannot fire,blind=true
AB_FROZEN_WASTES,Frozen Wastes,ACTIVE,GROUND_AOE,1200,0,80,Freeze every enemy in radius solid for 6 seconds,freeze=6s
AB_WHISPERS,Whispers,ACTIVE,ENEMY_HERO,1000,20,60,Target enemy Lord's ability is disabled,silence=true
AB_EMPRESS_MECH,Empress Mech,ACTIVE,SELF,0,0,0,Transform into the Empress Mech: immune to elemental damage,transform=GIANT
AB_RHINO_CHARGE,Rhino Charge,ACTIVE,DIRECTION,1500,0,35,"Charge in a straight line, flattening everything",dmg=60
AB_PACK_HOWL,Pack Howl,ACTIVE,ALLY_AOE,1500,20,50,All Wolf Clan units in radius gain max Pack Tactics bonus,atk=+6
AB_RISE_AGAIN,Rise Again,PASSIVE,AURA,500,0,0,Enemy models dying nearby rise as Bone Warriors,raise=100%
AB_SPINJITZU,Spinjitzu,ACTIVE,DIRECTION,900,0,25,Elemental tornado dash. Damages everything passed through,dmg=35
AB_GOLDEN_DRAGON,Golden Dragon,ACTIVE,GLOBAL,0,20,120,"Summon the Golden Dragon. All allies +4 attack, +30 morale",buff=+4 atk
AB_FIRE_BLAST,Fire Blast,ACTIVE,GROUND_AOE,700,0,30,Cone of fire,dmg=45
AB_LIGHTNING_BOLT,Lightning Bolt,ACTIVE,ENEMY_UNIT,1400,0,30,Chains between up to 6 nearby enemies,dmg=40
AB_EARTHQUAKE,Earthquake,ACTIVE,SELF_AOE,800,0,35,Knocks down everything in radius,dmg=35
AB_ICE_WALL,Ice Wall,ACTIVE,GROUND,1000,25,40,Raise a wall of ice that blocks movement,terrain=wall
AB_WATER_WAVE,Water Wave,ACTIVE,DIRECTION,1200,0,35,A wave. Instantly destroys Ghost units,dmg=40
AB_STAFF_OF_WISDOM,Staff of Wisdom,ACTIVE,ALLY_AOE,1500,20,50,Allies in radius gain +3 attack and +3 defence,buff=+3/+3
AB_BROWN_NINJA,The Brown Ninja,PASSIVE,SELF,0,0,0,Can pick up the Helmet of Shadows. Otherwise unremarkable,special=helmet
